Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2022,Myliobatidae,Mobula,Mobula tarapacana,150,kg,HK,LK,,T,W,E
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,230,kg,HK,LK,,T,W,E
2022,Lamnidae,Isurus,Isurus oxyrinchus,140,kg,HK,LK,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna lewini,335,kg,HK,LK,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna lewini,779.3,kg,HK,SV,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,1121.4,kg,SG,PE,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,113,kg,HK,MX,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,196,kg,HK,MX,,T,W,I
2018,Sphyrnidae,Sphyrna,Sphyrna lewini,950,kg,HK,LK,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,TW,,T,W,I
2022,Sphyrnidae,Sphyrna,Sphyrna mokarran,347,kg,HK,NI,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna zygaena,542,kg,HK,MX,,T,W,I
2020,Sphyrnidae,Sphyrna,Sphyrna zygaena,297,kg,HK,MX,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,670,kg,HK,PE,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,12000,kg,PE,EC,,T,W,I
2022,Alopiidae,Alopias,Alopias pelagicus,11004,kg,PE,EC,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,1737,kg,KR,TW,,T,W,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,94,kg,HK,MX,,T,W,I
2020,Sphyrnidae,Sphyrna,Sphyrna lewini,70.3,kg,HK,MX,,T,W,I
2019,Sphyrnidae,Sphyrna,Sphyrna zygaena,341,kg,HK,MX,,T,W,I
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,130,kg,HK,LK,,T,W,E
2022,Lamnidae,Isurus,Isurus oxyrinchus,85,kg,HK,LK,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna lewini,180,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula mobular,115,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula spp.,130,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula tarapacana,55,kg,HK,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,4042,kg,SG,ES,,T,X,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,10585,kg,TW,VU,,T,W,E
2017,Rhincodontidae,Rhincodon,Rhincodon typus,2,kg,AU,MV,,S,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,222.94,kg,CN,MX,,T,W,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,485,kg,CN,MX,,T,O,E
2021,Myliobatidae,Mobula,Mobula birostris,106,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula japanica,95,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula tarapacana,113.6,kg,HK,LK,,T,W,I
2020,Myliobatidae,Mobula,Mobula japanica,40,kg,HK,LK,,T,W,E
2020,Myliobatidae,Mobula,Mobula tarapacana,100,kg,HK,LK,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,33,kg,FR,SN,,T,W,E
2022,Myliobatidae,Mobula,Mobula japanica,272,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula spp.,105,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula tarapacana,123,kg,HK,LK,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,920,kg,HK,YE,,T,W,E
2021,Myliobatidae,Mobula,Mobula mobular,100,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula spp.,120,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula tarapacana,100,kg,HK,LK,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,721.9,kg,ES,SN,,T,W,E
2022,Myliobatidae,Mobula,Mobula japanica,200,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula spp.,200,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula tarapacana,500,kg,HK,LK,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1000,kg,CN,MX,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,495,kg,CN,MX,,T,W,E
2020,Sphyrnidae,Sphyrna,Sphyrna zygaena,1075,kg,SG,PE,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,319.9,kg,CN,MX,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna zygaena,2115.4,kg,CN,MX,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,17829,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,5467,kg,KR,TW,,T,W,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,81,kg,HK,MX,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,26500,kg,TW,CR,,T,,E
2022,Myliobatidae,Mobula,Mobula japanica,35,kg,HK,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,360,kg,CN,NAM,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,3578,kg,SG,ES,,T,X,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,97,kg,CN,MX,,T,W,E
2020,Lamnidae,Isurus,Isurus spp.,77.3,kg,HK,ID,,T,O,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,337.3,kg,HK,MX,,T,W,I
2016,Sphyrnidae,Sphyrna,Sphyrna zygaena,735,kg,HK,MX,,T,W,I
2019,Sphyrnidae,Sphyrna,Sphyrna mokarran,54.65,kg,HK,SV,,T,W,I
2019,Sphyrnidae,Sphyrna,Sphyrna zygaena,2.9,kg,HK,SV,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,1292,kg,CN,NAM,,T,W,E
